StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,EasierOrHarder,ProjectChoice,Wager_1,AttImport_MV,AttImport_SA,AttImport_MS,AttImport_NC,BecameConfident,NotEnoughRound,CouldPredict,AttribUseful,AttribDiff,SubjSlope,turkid,condid,bonusearned
24/9/2019 21:49,24/9/2019 21:50,0,100,87,1,24/9/2019 21:50,R_11X66aQRgSyfPeP,5,0,5,4,2,4,3,5,3,5,5,6,5,A3ITZNJQUTIZ4C,0,20
24/9/2019 21:48,24/9/2019 21:50,0,100,109,1,24/9/2019 21:50,R_1dyRWRHNtWJBZGF,5,1,10,3,5,4,3,5,3,5,5,6,6,AKOOC3BXIS15H,0,30
24/9/2019 21:49,24/9/2019 21:50,0,100,93,1,24/9/2019 21:50,R_xu8MjweATQeRz9L,5,1,10,5,5,4,5,7,2,7,7,6,7,A6MWJK1YEY5L2,2,30
24/9/2019 21:49,24/9/2019 21:51,0,100,74,1,24/9/2019 21:51,R_ukQa7Bw5HUajh7z,4,0,3,2,2,3,4,6,2,5,5,6,4,A2DHKTD1GSBXR2,0,16
24/9/2019 21:50,24/9/2019 21:51,0,100,56,1,24/9/2019 21:51,R_1q8rsX5BKmvc37R,6,2,10,4,5,3,4,7,2,6,6,5,7,AJ9W5GNM3SB2Q,2,30
24/9/2019 21:49,24/9/2019 21:51,0,100,104,1,24/9/2019 21:51,R_brOnxi1oDk8v9mx,6,1,10,2,2,5,5,6,2,6,6,6,6,A1K5ILJMG439M5,2,30
24/9/2019 21:50,24/9/2019 21:51,0,100,58,1,24/9/2019 21:51,R_Ui45a1GfGNlOeiJ,5,2,10,3,4,5,5,6,3,6,5,6,5,A2P791EA88YGSV,0,30
24/9/2019 21:48,24/9/2019 21:51,0,100,175,1,24/9/2019 21:51,R_1CfR0LZpyAylOOF,6,1,10,1,1,4,5,5,2,5,6,7,4,AWIYSXEA51PFZ,2,30
24/9/2019 21:50,24/9/2019 21:51,0,100,74,1,24/9/2019 21:51,R_1rv9TEMrZKBScyy,6,0,10,5,3,2,3,6,1,6,6,7,7,A2CHDWKAYZ3P3E,2,30
24/9/2019 21:50,24/9/2019 21:51,0,100,72,1,24/9/2019 21:51,R_30qw3uXp2IV9kEs,5,1,10,3,3,4,3,6,2,6,6,6,7,AA9SBG7LNCG8Q,2,30
24/9/2019 21:50,24/9/2019 21:51,0,100,36,1,24/9/2019 21:51,R_24PeQbqGkWOS5IW,6,0,5,4,5,4,2,2,4,7,3,7,2,AIWSB4YTN32GF,2,20
24/9/2019 21:49,24/9/2019 21:51,0,100,122,1,24/9/2019 21:51,R_1PUmGlELgE2AUcg,3,1,5,3,3,4,5,5,3,5,5,5,7,A1MIB492BU9KIQ,0,20
