turkid,round,choice,condid,condition,startdate,enddate,timing,time_to_choose,time_to_completion
A17TKHT8FEVH0R,19,1,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:44:11Z,17.460000038146973,275
A17TKHT8FEVH0R,20,2,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:44:16Z,5.640000104904175,275
A87D3K9YVKTQ7,1,1,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:43:30Z,0,284
A87D3K9YVKTQ7,2,2,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:43:37Z,7.321000099182129,284
A87D3K9YVKTQ7,3,1,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:43:42Z,5.142999887466431,284
A87D3K9YVKTQ7,4,0,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:43:47Z,4.491000175476074,284
A87D3K9YVKTQ7,5,2,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:43:51Z,4.0259997844696045,284
A87D3K9YVKTQ7,6,2,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:43:56Z,5.170000076293945,284
A87D3K9YVKTQ7,7,0,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:44:01Z,5.0980000495910645,284
A87D3K9YVKTQ7,8,1,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:44:06Z,5.213000059127808,284
A87D3K9YVKTQ7,9,1,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:44:19Z,12.514999866485596,284
A87D3K9YVKTQ7,10,2,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:44:24Z,5.578000068664551,284
A87D3K9YVKTQ7,11,2,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:44:29Z,5.177000045776367,284
A87D3K9YVKTQ7,12,0,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:44:34Z,4.688999891281128,284
A87D3K9YVKTQ7,13,2,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:44:50Z,15.963000059127808,284
A87D3K9YVKTQ7,14,2,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:44:57Z,6.556999921798706,284
A87D3K9YVKTQ7,15,1,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:45:01Z,4.7840001583099365,284
A87D3K9YVKTQ7,16,1,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:47:40Z,158.90100002288818,284
A87D3K9YVKTQ7,17,1,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:47:44Z,3.5409998893737793,284
A87D3K9YVKTQ7,18,2,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:47:48Z,3.802000045776367,284
A87D3K9YVKTQ7,19,1,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:47:52Z,4.0959999561309814,284
A87D3K9YVKTQ7,20,1,0,Flat,2019-09-24 19:43:17,2019-09-24 19:48:01,2019-09-24T19:47:54Z,2.562999963760376,284
A12IHTKQFQIPD1,1,2,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:41:30Z,0,167
A12IHTKQFQIPD1,2,2,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:41:35Z,5.003999948501587,167
A12IHTKQFQIPD1,3,1,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:41:47Z,12.424999952316284,167
A12IHTKQFQIPD1,4,0,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:41:55Z,7.726000070571899,167
A12IHTKQFQIPD1,5,2,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:42:00Z,5.389999866485596,167
A12IHTKQFQIPD1,6,1,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:42:05Z,4.880000114440918,167
A12IHTKQFQIPD1,7,2,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:42:11Z,5.69599986076355,167
A12IHTKQFQIPD1,8,0,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:42:23Z,12.305999994277954,167
A12IHTKQFQIPD1,9,2,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:42:31Z,7.378000020980835,167
A12IHTKQFQIPD1,10,2,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:42:38Z,7.202000141143799,167
A12IHTKQFQIPD1,11,0,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:42:43Z,5.563999891281128,167
A12IHTKQFQIPD1,12,0,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:42:52Z,8.386000156402588,167
A12IHTKQFQIPD1,13,2,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:42:58Z,5.986999988555908,167
A12IHTKQFQIPD1,14,2,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:43:09Z,10.691999912261963,167
A12IHTKQFQIPD1,15,2,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:43:21Z,12.03600001335144,167
A12IHTKQFQIPD1,16,0,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:43:30Z,9.41700005531311,167
A12IHTKQFQIPD1,17,1,2,Strongly Increasing,2019-09-24 19:41:24,2019-09-24 19:44:11,2019-09-24T19:43:42Z,11.791999816894531,167
