StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DV_1,DV_2,DV_3,DV_4_R,CouldLearn_1,CouldLearn_2,CouldLearn_3,1_Hook,1_Length,1_Tone,1_Content,1_CTA,2_Hook,2_Length,2_Tone,2_Content,2_CTA,EdgeProbability,turkid,condid,replicate
4/24/2024 23:50,4/24/2024 23:52,0,100,129,1,4/24/2024 23:52,R_2EiTKMKbojGXwl3,1,1,1,-1,0,0,0,2,0,0,2,0,0,1,1,0,1,65,5b15b176c85dc40001625ce9,1,2
4/24/2024 23:48,4/24/2024 23:52,0,100,243,1,4/24/2024 23:52,R_6K8TZOIik0h7v0B,2,1,1,-1,1,1,1,2,0,1,2,1,1,2,0,0,0,90,660daced2d17c6d02bc3c023,1,3
4/24/2024 23:49,4/24/2024 23:52,0,100,192,1,4/24/2024 23:52,R_4hy8OtmdWHLsZh2,2,2,2,-2,2,1,1,1,0,0,2,0,2,2,1,0,1,100,615c03bf4f12b1e1eb2ace17,0,0
4/24/2024 23:49,4/24/2024 23:53,0,100,220,1,4/24/2024 23:53,R_5DILVlJm9AGVFIp,1,1,1,-1,1,0,1,2,0,0,2,0,0,2,1,0,0,75,61548e103213611528722709,1,1
4/24/2024 23:50,4/24/2024 23:53,0,100,161,1,4/24/2024 23:53,R_3veJgJtRnj6EJ93,2,2,2,-2,1,1,1,1,1,0,2,1,2,0,1,1,0,85,60e6ed09b102ff57a70ca23f,0,3
4/24/2024 23:50,4/24/2024 23:53,0,100,166,1,4/24/2024 23:53,R_2R3mwg1cF2TCNqN,2,2,2,-2,2,1,2,2,0,0,2,1,0,2,0,0,0,75,5ed55fe9a127550e59b690f8,1,3
4/24/2024 23:49,4/24/2024 23:53,0,100,209,1,4/24/2024 23:53,R_4QXrY6D02ySpUhU,1,1,0,1,0,0,0,2,1,0,1,0,1,2,1,1,1,75,55a7d0a1fdf99b65badeeed7,1,3
4/24/2024 23:51,4/24/2024 23:53,0,100,101,1,4/24/2024 23:53,R_5kP1OiM9LtVwZTb,2,1,1,-1,1,0,0,2,0,0,1,0,0,2,1,0,1,85,5e52f052fedced045c73cb72,1,0
4/24/2024 23:50,4/24/2024 23:53,0,100,153,1,4/24/2024 23:53,R_2DNDbbtg4ykEEG6,2,2,2,-2,2,2,1,1,1,1,0,1,0,2,0,1,0,90,5bb7c0a64eae9c0001085b15,1,1
4/24/2024 23:52,4/24/2024 23:53,0,100,91,1,4/24/2024 23:53,R_5si8uLUPbzzHL4l,-1,0,-1,1,0,-1,-1,1,0,0,1,1,2,2,1,0,0,65,640a628b1ee07fd75971fd93,0,0
4/24/2024 23:51,4/24/2024 23:54,0,100,150,1,4/24/2024 23:54,R_2kHvLQ5fxt2tczB,2,2,2,-2,1,1,1,0,0,1,1,0,2,2,0,0,1,95,6104b941b6b6aedf462f393b,0,2
4/24/2024 23:51,4/24/2024 23:54,0,100,180,1,4/24/2024 23:54,R_3kBylnzvVxerqeu,2,2,2,-2,2,1,2,0,2,1,1,0,2,0,0,0,1,75,64860c8cfd693e6467ad6d15,0,4
4/24/2024 23:51,4/24/2024 23:54,0,100,148,1,4/24/2024 23:54,R_3NxKS6IoxZY9ngd,2,2,1,-2,2,2,2,2,2,1,1,0,0,0,0,0,1,80,593ec9b706c3b80001d681c5,0,4
4/24/2024 23:51,4/24/2024 23:54,0,100,179,1,4/24/2024 23:54,R_2plFynKYtHOsBr2,1,1,1,-1,1,1,1,1,1,1,1,0,0,2,1,0,0,80,609a0fa06cfe6658d4c1a4f3,0,0
4/24/2024 23:53,4/24/2024 23:54,0,100,76,1,4/24/2024 23:54,R_2NUOzeAbqb3ZwvZ,2,2,0,-2,1,1,1,2,1,0,1,0,1,2,1,0,1,95,5996f25a05a0e30001f1fd72,0,3
4/24/2024 23:52,4/24/2024 23:54,0,100,118,1,4/24/2024 23:54,R_2zeDydo3TCaWGjp,2,2,2,-1,1,1,1,1,0,1,2,1,0,0,0,0,0,95,65a53ce092b4798f1b1ff5bb,1,4
4/24/2024 23:50,4/24/2024 23:54,0,100,262,1,4/24/2024 23:54,R_2RWg5tZPpgtSxng,2,2,1,-1,1,1,1,2,2,1,2,0,0,0,0,2,0,90,65ce6e580ff7827d2f4d5145,1,3
4/24/2024 23:51,4/24/2024 23:54,0,100,188,1,4/24/2024 23:54,R_6i5kYG3pjfVQ8pJ,2,2,1,-1,1,1,1,1,0,0,0,0,2,2,1,2,1,95,5c5346b553fba80001bc9662,0,4
4/24/2024 23:54,4/24/2024 23:55,0,100,65,1,4/24/2024 23:55,R_1PzKxitzX97jrdF,1,1,1,0,1,-1,0,2,0,1,1,0,0,0,0,0,1,100,5f48f497fae2763d537d2e6b,1,2
4/24/2024 23:50,4/24/2024 23:55,0,100,282,1,4/24/2024 23:55,R_3n2zSFvDUbRNoIu,2,1,1,0,1,0,-1,0,1,0,1,1,2,2,1,2,0,60,6550b7360295466f116b7b32,0,4
4/24/2024 23:52,4/24/2024 23:55,0,100,146,1,4/24/2024 23:55,R_71bCOKV8KE3UN1Z,-1,-1,-1,1,-2,-1,-2,1,1,0,2,0,1,0,0,1,0,85,636548bb10bd3ccc25f4a194,1,1
4/24/2024 23:52,4/24/2024 23:55,0,100,146,1,4/24/2024 23:55,R_2QWWbYAQciMk43A,2,2,2,-1,2,1,1,0,0,0,1,1,2,2,1,0,0,65,5ba6658bad80560001dfb918,1,1
4/24/2024 23:54,4/24/2024 23:55,0,100,79,1,4/24/2024 23:55,R_2PlyV4p8QoRkUkp,2,2,1,-1,1,1,1,2,1,1,1,1,1,0,0,0,0,80,66112bd293acb41880432781,1,3
4/24/2024 23:54,4/24/2024 23:55,0,100,105,1,4/24/2024 23:55,R_1kGOKdjaR7yrvq1,1,2,1,-1,1,1,1,1,2,1,1,1,0,1,0,0,0,85,572b912c3ab9df000dba9eef,1,4
4/24/2024 23:51,4/24/2024 23:55,0,100,250,1,4/24/2024 23:55,R_6q2bWu1OCD7pgEg,2,1,1,-2,1,1,1,1,1,0,1,1,2,2,1,0,0,75,6122a649efda7628c15054cf,1,4
4/24/2024 23:53,4/24/2024 23:55,0,100,162,1,4/24/2024 23:55,R_2WMcGhrckGwvvsY,-1,1,-1,0,-1,-1,-1,0,0,0,1,0,2,2,0,0,1,50,5b75680d976ecb0001b11477,0,2
4/24/2024 23:54,4/24/2024 23:55,0,100,87,1,4/24/2024 23:55,R_5JpVvcKa2LXCpj0,1,1,1,-1,1,1,1,1,2,0,0,0,0,2,1,2,1,100,6608c6d8e5f6d9302c0d9035,1,4
4/24/2024 23:54,4/24/2024 23:56,0,100,109,1,4/24/2024 23:56,R_1gxBkOiKAiTnHP3,2,2,2,-2,1,1,1,2,0,1,2,0,0,2,0,0,1,95,5cd70e7ee8b2070001bc91cb,1,3
